id;group_id;permission_id
766;1;1
767;1;2
768;1;3
769;1;4
770;1;5
771;1;6
772;1;7
773;1;8
774;1;9
775;1;10
776;1;11
777;1;12
13;1;13
14;1;14
15;1;15
16;1;16
778;1;17
779;1;18
780;1;19
781;1;20
782;1;21
783;1;22
784;1;23
785;1;24
695;1;25
696;1;26
697;1;27
698;1;28
699;1;29
700;1;30
701;1;31
702;1;32
703;1;33
704;1;34
705;1;35
706;1;36
707;1;37
708;1;38
709;1;39
710;1;40
711;1;41
712;1;42
713;1;43
714;1;44
715;1;45
716;1;46
717;1;47
718;1;48
719;1;49
720;1;50
721;1;51
722;1;52
723;1;53
724;1;54
725;1;55
726;1;56
727;1;57
728;1;58
729;1;59
730;1;60
731;1;61
732;1;62
733;1;63
734;1;64
735;1;65
736;1;66
737;1;67
738;1;68
739;1;69
740;1;70
741;1;71
742;1;72
692;1;73
743;1;74
693;1;75
744;1;76
745;1;77
746;1;78
747;1;79
748;1;80
749;1;81
750;1;82
751;1;83
752;1;84
753;1;85
754;1;86
755;1;87
756;1;88
757;1;89
758;1;90
759;1;91
760;1;92
786;1;93
787;1;94
788;1;95
789;1;96
790;1;97
791;1;98
792;1;99
793;1;100
794;1;101
795;1;102
796;1;103
797;1;104
798;1;105
799;1;106
800;1;107
801;1;108
802;1;109
803;1;110
804;1;111
805;1;112
806;1;113
807;1;114
808;1;115
809;1;116
810;1;117
811;1;118
812;1;119
813;1;120
814;1;121
815;1;122
816;1;123
817;1;124
818;1;125
819;1;126
820;1;127
821;1;128
822;1;129
823;1;130
824;1;131
825;1;132
826;1;133
827;1;134
828;1;135
829;1;136
830;1;137
831;1;138
832;1;139
833;1;140
834;1;141
835;1;142
836;1;143
837;1;144
838;1;145
839;1;146
840;1;147
841;1;148
842;1;149
843;1;150
844;1;151
845;1;152
846;1;153
847;1;154
848;1;155
849;1;156
850;1;157
851;1;158
852;1;159
853;1;160
854;1;161
855;1;162
856;1;163
857;1;164
858;1;165
859;1;166
860;1;167
861;1;168
862;1;169
863;1;170
864;1;171
865;1;172
866;1;173
867;1;174
868;1;175
869;1;176
870;1;177
871;1;178
872;1;179
873;1;180
874;1;181
875;1;182
876;1;183
877;1;184
878;1;185
879;1;186
880;1;187
881;1;188
882;1;189
883;1;190
884;1;191
885;1;192
886;1;193
887;1;194
888;1;195
889;1;196
890;1;197
891;1;198
892;1;199
893;1;200
894;1;201
895;1;202
896;1;203
897;1;204
898;1;205
899;1;206
900;1;207
901;1;208
689;1;209
902;1;210
903;1;211
904;1;212
905;1;213
906;1;214
907;1;215
908;1;216
909;1;217
910;1;218
911;1;219
912;1;220
913;1;221
914;1;222
915;1;223
916;1;224
917;1;225
918;1;226
919;1;227
920;1;228
921;1;229
922;1;230
923;1;231
924;1;232
925;1;233
926;1;234
927;1;235
928;1;236
929;1;237
930;1;238
931;1;239
932;1;240
933;1;241
934;1;242
935;1;243
936;1;244
937;1;245
938;1;246
939;1;247
940;1;248
941;1;249
942;1;250
943;1;251
944;1;252
945;1;253
946;1;254
947;1;255
948;1;256
949;1;257
950;1;258
951;1;259
952;1;260
953;1;261
954;1;262
955;1;263
956;1;264
957;1;265
958;1;266
959;1;267
960;1;268
269;1;269
961;1;270
962;1;271
963;1;272
1046;1;273
965;1;274
966;1;275
967;1;276
968;1;277
969;1;278
970;1;279
971;1;280
972;1;281
973;1;282
974;1;283
975;1;284
976;1;285
977;1;286
978;1;287
979;1;288
980;1;289
981;1;290
982;1;291
983;1;292
984;1;293
985;1;294
986;1;295
987;1;296
988;1;297
989;1;298
990;1;299
991;1;300
992;1;301
993;1;302
994;1;303
995;1;304
996;1;305
997;1;306
998;1;307
999;1;308
1000;1;309
1001;1;310
1002;1;311
1003;1;312
1004;1;313
1005;1;314
1006;1;315
1007;1;316
1008;1;317
1009;1;318
1010;1;319
1011;1;320
1012;1;321
1013;1;322
1014;1;323
1015;1;324
1016;1;325
1017;1;326
1018;1;327
1019;1;328
1020;1;329
1021;1;330
1022;1;331
1023;1;332
1024;1;333
1025;1;334
1026;1;335
1027;1;336
1028;1;337
1029;1;338
1030;1;339
1031;1;340
1032;1;341
1033;1;342
1034;1;343
1035;1;344
1036;1;345
1037;1;346
1038;1;347
1039;1;348
353;2;13
354;2;14
1042;2;16
416;2;76
1041;2;108
549;2;209
550;2;210
551;2;211
552;2;212
1040;2;240
1;3;333
2;3;8
3;3;12
4;3;16
5;3;20
6;3;25
7;3;26
8;3;28
9;3;32
10;3;36
11;3;40
12;3;44
17;3;56
18;3;60
19;3;61
20;3;64
21;3;68
22;3;72
26;3;77
27;3;78
28;3;80
29;3;81
30;3;84
34;3;92
35;3;93
36;3;96
37;3;104
38;3;108
39;3;112
40;3;116
41;3;120
42;3;124
43;3;126
44;3;128
45;3;129
46;3;132
47;3;136
48;3;144
49;3;156
50;3;160
51;3;168
52;3;172
53;3;176
54;3;180
55;3;184
56;3;188
57;3;189
58;3;190
59;3;192
60;3;196
61;3;200
62;3;204
63;3;208
64;3;212
65;3;216
66;3;220
67;3;224
68;3;228
69;3;229
70;3;232
71;3;233
72;3;236
73;3;240
74;3;244
75;3;248
