1;2;333
2;2;8
3;2;12
4;2;16
5;2;20
6;2;25
7;2;26
8;2;28
9;2;32
10;2;36
11;2;40
12;2;44
13;2;13
14;2;14
15;2;15
16;2;16
17;2;56
18;2;60
19;2;61
20;2;64
21;2;68
22;2;72
26;2;77
27;2;78
28;2;80
29;2;81
30;2;84
34;2;92
35;2;93
36;2;96
37;2;104
38;2;108
39;2;112
40;2;116
41;2;120
42;2;124
43;2;126
44;2;128
45;2;129
46;2;132
47;2;136
48;2;144
49;2;156
50;2;160
51;2;168
52;2;172
53;2;176
54;2;180
55;2;184
56;2;188
57;2;189
58;2;190
59;2;192
60;2;196
61;2;200
62;2;204
63;2;208
64;2;212
65;2;216
66;2;220
67;2;224
68;2;228
69;2;229
70;2;232
71;2;233
72;2;236
73;2;240
74;2;244
75;2;248
76;2;252
77;2;253
78;2;254
79;2;255
80;2;256
81;2;260
82;2;261
83;2;262
84;2;264
85;2;268
86;2;272
87;2;273
88;2;274
89;2;276
90;2;277
91;2;278
92;2;280
93;2;284
94;2;288
95;2;292
96;2;293
97;2;294
98;2;296
99;2;300
100;2;304
101;2;308
102;2;312
103;2;313
104;2;314
105;2;316
106;2;317
107;2;320
108;2;324
109;2;328
110;2;329
111;2;330
112;2;332
113;2;334
114;2;336
115;2;340
116;2;344
117;2;348
